image_id,year,month,day,final_date,stage,texts
000011,2026,02,05,2026-02-05,s1,리츠 | 치즈 | 리츠 | 치즈 | RITZ | RITZ | CHEESE | 2026.02.05 0
000012,2026,03,23,2026-03-23,s1,ARLEY HARDI | 공한 | OTHER | 사광 ma | 용물의 파손을 막기 | ircushion)을하 | 1정·불량 식품 신 | 180941318821641 | 소비기한: | 2026-03-23 | 까지
000013,2026,03,20,2026-03-20,s1,"ONEY MUSTAF | 기한 | EL | 2026.03.20A | 첼 | 품명:프레첼허니향머 | TARD | H名号:85 g(409kcal | 품유형:과자(유처리 | E | 나드맛 | 넘기도파주시월통산로40 | 러드머스타 | E 변성전분 데스E | 당가공소금정제소금 제상인 | 사양벌꿀 | 김.대두,우유"
000014,2026,01,31,2026-01-31,s1,"한국식 스웨데젤리식품의유형캔디류 | 号丘7120100211096119 | 100g(360kcal) | TEL031-957-4788 | 돼지고기,우유함유 | (식용색소황색제4호,식용색소청색제1호) | 영양정보 | 총내용량당 | 총내용량 | 나트륨44mg | 2% | 지방0g | 0% | 26.01.31 | 100g | 全支号88g | 27% | 트랜스지방0g | 까지 | 360 kal | 당류 7g | 7% | 포화지방0g | 0% | 콜레스테를Omg | 단백질19 | 2% | OTHER | 031- | 손비장 | 상담실 | 957-4788"
000015,2026,03,01,2026-03-01,s1,"Market | 마켓오 브리우니 | E | 2025,09,02/21:35 | 소비 | 부터 | 기한 | 2026,03,01/A | 까지 | Ket | • | ACE2008 | New"
000016,2026,01,22,2026-01-22,s1,"에서 제조하고 있습니 | ·직17""서을 피하고 서늘하고 건조한 곳에보 | 개봉 후 바로 드십시오. | 으로 검게 보이는 것으로 안심하고 드셔도 | 새우가 쏙~ | 표던 가 동색 입자는 파슬리 입니다. | 사자 본팀에 의거 교환,환불해드립니다 | 139 | ·반품 본사 및 구입한 곳. | 새우와 밀가루를잘혼합한 후스팀을 | ·신지를 위해 질소충전포장을 하였습니 | 이용하여 만든 반족을 클러로 앞게 밀어주고 | 식동인전원리인경 | HACCP | y어 | 38010430360 | 구원 줍니다. | Oniainal | 2026.01.22까지 | ④ | 드레싱을 골고루 뿌려완성 | 영양정보 | 총내용80 | ※농심의 독자적인 설비와 공법으로 만들거, | 410kcal | 직구 | 방동) | 가정에서 동일하게 만들기는 어렵습니다. | 层量460mg23%个量52g16% | 수신자요금부담 | 농심물 바르라기 | 023-5181 | 2"
000017,2026,11,25,2026-11-25,s1,"1일영양성분 | 총 내용량당 | 영양정보 | 총 내용량당 | 기준치에대한비율 | 나트름14mo | 1% | 지방 0e | 총내용량 48m | 탄수화물19 | 0% | 트랜스지방0g | 4kcal | 당류 0g | 0% | 포화지방09 | 콜레스테롤Omg | 0% | 단택질0g | （2.000cal | 기준이으로,개인의 필요 열량에 따라다를 수 있습니다 | ©20r& LeeVin, ATOoNZ. All rights reserved. | 유통판매시법적벌을받습니다. | 2026.11.25"
000018,2025,04,02,2025-04-02,s1,OPEN | ABC | 씨리얼 | 맺있는 곡물로만든 | 코쿠키 | 초코 | OPEN | ABC | t's ABe Time | 초코쿠키 | kcal5%45% | 쿠키앤크림 | ABC | ：1801062879890 | 초코쿠키 | 25.4.2 B | 쿠키앤크림 | 17:20 | 까지 | 렛트 | HEEDA
000019,2025,07,10,2025-07-10,s1,"4가지 지즈로더욱 풍부해진 | 치즈샌드 | Rich, | 2025.07.10B | 부터 | 2026.04.09 | 까지맛있는약속 | Jig | LC"
000020,2025,10,09,2025-10-09,s1,단팥이 가득 | DELICIOUS | 단팥빵 | *SINCE | J94 | 나2025.10.09까지A1-5정영대 | GOODQUA
000021,2025,10,10,2025-10-10,s1,호밀 발효종을 넣어 부드러운 | 풍미를살린 패스쥬리 | 헉 | 부담은 | 等1220 | 다25.10.10까지A신재명
000022,2025,10,14,2025-10-14,s1,"KIRIN | 가영양 | 고구마 | 크림빵 | 25.10.14까지.A1.F2 | ESH SLOW BREAD | ""연출된 예 | 복합 | 특허유산균 | 구마/20%) | 부담은"
000023,2025,10,10,2025-10-10,s1,빅단팥슈크림빵 | 25.10.10까지.A1/F2 | 맛도BG!기도B | 산균 | 공법 | 풍부한 | 36o kcal) | 단팥앙금 | 수크림
000024,NONE,NONE,NONE,NONE,fail,"U아리브 | 통밀시빵 | 발효빵맞춤 | 허유산균 | 효공법 | 18.8.% | 0.002% | (1,480kcal) | 이미지 사진입니다 | (1.480kcal) | 0.002% | 18.8% | 효공법 | 허유산균 | 발효빵맞춤- | 통밀시방 | 이미지 사진입니다. | %2000元 | oobd | to | '%88 | %20002元 | %881 | 운 | opobd | 통밀시방 | 발효빵맞춤 | 허유산균 | F.. | 요공법 | 25.10:110A | 고 | 부한 | 18.8.%, | 0.002% | (1,480kcal) | 이미지 사진입니다. | I | 통밀시방 | upgrade | 발효빵맞춤— | 허유산균 | 발효공법 | 10-232088 | 고풍부한 | 18.8% | 0.002% | (1,480kcal) | 이미지 사진입니다"
000025,2026,06,11,2026-06-11,s1,"닭고기 | '합포함),짓 | 까지 | 2026.06.11A"
000026,2025,11,13,2025-11-13,s1,앤스지방 | 0g | 표화지방 | 5g | 콜레스테롤 | 0mg | 단백질 | 11g | 1일 영양성북 긴준침엘 대한 비육 | 에 따라다를 수있습니다. | OTI | 809486 | 992593 | 소비기한 | 2025.11.13 | 까지
000027,2026,04,27,2026-04-27,s1,E0 27.04.2026 | PD 28.04.2025 | F07:57
000028,2025,03,31,2025-03-31,s1,GHANA행복사서항 | 970-4567-5050 | 가나와 함께한 50년의 이야기를 | 지금 바로 들어보세요 | (용성에세지 유효기간: ~25.3.31) | B한간 2.8. | ∞ | 품릿습 | 변정통서 | 통능
000029,2026,08,02,2026-08-02,s1,"총내 | 영등보 | 포화지방 | 워미구 | 콜레스테를 | 고번호 | 대료명 | 단백질4 | 1일영양성분 | 기준이므로 개 | ·제품0 | 유화제,향료IV | 30℃ | 낮은습 | 습 | 돼지고기, 복승아 함유 | 롯데웰푸드 | 비닐류 | 801062898862 | OTHER | 2026.08.02H1 | 까지 | )"
000030,2028,08,17,2028-08-17,s1,"3,480 | 3,480 | SPAM | SPAM | MA6 | 맛의비밀 | 28.08.17 | 16-447 | 맛이깔끔한 | 는 맛있게 | 기부방법 | 게 | ? | 1 | 점선을따라 | 2 | 금호수를채취, | SPAM | 파우치를 | SPAM | 사이프리스 | 열어주세요 | 제) | 돼지고기 함유 | 보관방법 실온보관 | 30405015-210 | 포장재질(내면)폴리프로필런 | 80g/250kca | 영양정보"
000031,2026,02,14,2026-02-14,s1,"신상품 | 기격 | 1 | 2개 | 1,460 | 알인 | 구매시알인 | 2026.02.14 | 0839A182 | 간르이는 | 용원해"
000032,2026,03,28,2026-03-28,clahe,JlN | 2026.03.2811 | B2 13:40 | 너라면 할 수 있어
000033,2026,06,17,2026-06-17,s1,"1.660 | 1,770 | PEPERO | LOTTE | 26. 06. 17 09:29 F2 | 까지"
000034,NONE,NONE,NONE,NONE,fail,"3790 | 手37（185kco | white cook | PRER | 1,660 | PEPERO | LOTTE | 까지 | white | PRET | LOTTE | 1.660 | PEPERO | 3. | 3700 | white | 까지 | 난D | 099'1 | 3OLTT | ZIEN | PD | 1LLTm | 0991 |  UEE어 | 6OE  | white | 화이트쿠키 37 gl | 화이트쿠키 | 90 | PREIZ | 1.660 | PEPERO | DLOTTE | B.E.그 B 18 F | 까지 | white | white cook | PRETZ | 1,660 | PEPERO | LOTTE | 까지"
000035,2026,08,17,2026-08-17,clahe,[!bel | 3E | 2026. 08:17까지 | 2481043 | 2051- | TEL)02 | 제45 | 난면 | 영업신고
000036,2026,08,26,2026-08-26,s1,1+1 | 3.980 | 1+1 | 야채죽 | 단호박죽 | 2026.08.26까지 | 11:48F3
000037,2026,07,17,2026-07-17,s1,1+1 | 조리예 | 9번 | 박주 | 2026.07.17.까지 | 22:59F3
000038,2027,02,12,2027-02-12,s1,"오뚜기크림스프80G | 2,590 | 1+1 | 3.980 | EF | ISOUP | IPUMPKIN | 2027.02.12/K | 캅스프 | 콘스프 | VONO"
000039,2026,05,26,2026-05-26,clahe,2026.05.26  1지 E | 함께해요! | 참소년 도박 근절
000040,2025,10,11,2025-10-11,s1,2025.10. 111 | 10:25DMEHB17 | GOOD TODAY
000041,2025,10,11,2025-10-11,s1,2025. 10.111지 | 10:52DMEHB25 | GOOD TODAY | 제주A2
000042,2025,10,12,2025-10-12,s1,"Denmark | Min | 2025, 10.12.A | nmarh"
000043,NONE,10,14,NONE-10-14,s1,10.131 | 10.14 09:45 PA | Denma | 유통기한제품 상 | 상단표 | 영업장의 명칭 | 월F8B | ik | 및소재지 | 정읍 | 1A원유 | 덴마크 | H니쉬우유 | 130℃ | 동물복지
000044,2026,02,07,2026-02-07,up2x,26.02.07까지 | 23:53 | OTHEF | CJ2a-0 | god | 99
000045,2027,04,21,2027-04-21,s1,·:가공 | ·원명:A() | 변질용은 구입처및 본사에서교형하며 본제용은 공정거래워원회고시 | 号155kca个量210（6%）40寸0g（0%）件190 | 품질경영 및 공산품 안전관리법에의한 품질표시 | IKS | 2027/04/21
000046,2025,10,10,2025-10-10,s1,소비기한 | 나2025.10.10.까지-D 현종
000047,2027,04,14,2027-04-14,s1,"자르기 | 19850499011231 | 식품유형 양조 | 품목보고번호 | 대상(주)순창공장:전북특별자치도 순 | 업소명 및 | 조재치 | 순창읍 순창로30 | 원재료명 | 정제수,탈지대두{외국산(인도·미국·중국) | 비아(감미료),종국,영양강화제 | 대두밀함유 | 내포장재질 | 용기-폴리에틸렌테레프탈레이트,뚜 | 에틸렌 | 8고객상담실 | F12408 | DAESANG | 소중한 자원,깨끗한 환경 | 소비기한 | 2027.04.1415:55"
000048,2026,06,12,2026-06-12,s1,nlb | uael | 만이야기 | 아기 절병 | unlabe | 1.100 | 26.06.12까지F111401:33GB
000049,2026,03,01,2026-03-01,s1,ket | 2브라우니 | 2025.09.02/21±35 | 소비 | 부터 | 기한 | 2026.03.01/ | 까지
000050,2025,09,30,2025-09-30,s1,"제품명 | 후레쉬 미니제리(빙수용) | 영양정보 | 식품유형 | 캔디류 | 200g | 200 | 100g348kcal | 원재료명 | 100g | 농축액, 사과농축액, 오렌지농축액,레몬농축액,혼합제제 | 1일영양성분 | 기준치에 대한비을 | 저 합성향료,트리아세틴),합성향료 | 나트륨 | 1(프로필렌글리콜 | 65mg3% | 프로필렌글리콜,합성향료),혼 | 혼합제제2(주정,천연방 | 탄수화물 | 87 g 27% | 합제제3(프로필렌글리콜,주정, 합성향료,젖산)혼합제 | 당류 | 66g 66% | 제4(천연항료,프로필렌글리콜,주정),홍국색소,혼합제제 | 지방 | 0g 0% | 트랜스지방 | 0g | 포화지방 | 0g | 0% | 출색소,정제수,β3-카로틴(착색료),비타민타} | 콜레스테롤 | 0mg | 0% | 소비기한 | 후면표기일까지 | 단백질 | 0g | 포장재질 | 플리프로필렌2025.09.30 | 1일 영양성분 기준치에 대한비을(%)은2 | 제조원 | 달공씨앤에프/경기도 파주시 정문로 | 기준이므로 개인의 필요 열량에 따라 다불수 | 543-1(周) | 유통전문판매원 | (주)청우식품/경기도포천시영중면 | 끔과사랑의 과자 | 129 | (주)청우식품 | 반품및교제조원 및 판매원 | 7객행복센터 | 080-039-8585 | www.cwfood.co.kr | 8801204"
000051,2026,01,01,2026-01-01,rot90,"피크닉사과 | 피크닉,사과 | 2026.01.1 | 04145 | 1"
000052,2025,11,19,2025-11-19,s1,"나섯 가지 야채, | 토마토 | 시금치 | 입어요 | 감자 | 고객지원센터 | 080-024-6060 | 09:00G | 2025.11.19 | SNac: | 다코코!"
000053,2025,12,20,2025-12-20,s1,자르기 | 202512.20期周
000054,2025,10,08,2025-10-08,s1,오 | 미니 꿀호떡 | 가25.10.08까지E 이영자 | 16 | Z1400g1124 | %外05 | 0.56%豆
000055,2026,08,04,2026-08-04,s1,제품명새상큼초고추장 | 식품유형혼합장(살군제품 | 4881320g | 2004904797 | 원재료명 | 장 | LOW | 플라스틱 | TAG | 영양정보 | 20g/100225kcal | 100gg | 4g | 류 | 소비기한 | 2026.08.04
000056,2026,07,11,2026-07-11,s1,"소맛있는 | 양님틈뿐 | 미국,호주신)대두(외국신),정제소금 종국, 물엇 정제수,복음대두 | 영양정보 | 8500 | 분대두외국신(미국,캐나다.호주 등).기타과당,고추양팀중국산)주정 | 100g215kcal | 설당,마능농축액,효모씨즈닝,미를 육수베이스분말,생강농축액 복음참께 | 2130mg10761128 | 3.9g7%00.6g4% | 려업소명및소재지대생주 수창공장전북수창군순창을순창로30 | ·오래둘수록색이 진해질 수 있으나 숙성에 의한 현상이므로 안심하고 드셔도 | 됩니다.제품중의검은입자는대두의일부분으로안심하고드셔도됩니다. | 80019-919（ | ·사늘하고 건조한 곳에 보관,개봉 후 냉장보관 | ·반품 및 교환장소고객상담실 및 구입처·본 | ·제조일: | 2025.07.12 | 제품은 소비자기본법에 의거 교환 또는 보상 | 01399 | ·소비기한: | 2026.07.11 | 까지 | F,是,号 智岛F12306 | 8801052438016 |  DAESANG | hps/ww.daesang.com | 뚜영PP,드A:OTHER | 청정원 | DAESANG | 고소하고 맛있는 | 수츠"
000057,2026,06,24,2026-06-24,s1,"Post. | 포스트 | 소금(국내산) | 시아산,필라핀산 | 텍스트린,da- | 성전분 이라비아검 | 영비타민 | POST는 몬델리즈 인터내셔널그룹의 | 스 비타 비타민 | 동서식품 고객상담실 | 리원-코페혼합형 | 080-023-9114 | 은  | W통서식품 | www.dongsuh.co.kr |  것이 한께 식 | 비닐류 | OTHER | 2026.06-24 | 18:52号A | 스트 | 콘푸라이트 | Post"
000058,2027,03,27,2027-03-27,s1,"사랑하는 산람과 국수를 | F2) | 제조원 | 오기국수는 | 최고의 재료와 옛 정성을 | 그대로 당은 최고의 국수 입니다. | 다가수 숙성제면법 | ·대두 | 을  | 손비자기 | 운도로 오행시간 | 으 을  | 보관 | 듣시기 바랍니다. | 총 내용량 | 원 안에 | 인본 수에 맞는 | 정확학 양으로 | 100g340 | 국수를 채우면 | 영양정보 | 딱1인분 | 알게 | 조리세요~ | 39 | 당류 | 797%X | 포화지방 | 19 | 트랜스지방 | （1100g） | 量1.000m5） | 오뚜기국수를 넣고 | ""조리법 대로삶아 행권 드시면 나트륨함량 | 4~5분간 삶습니다 | 줄어들어요~ | %영양성분 기준 | 나트룸 함량 | 조리전 | 삶은후 | *%영양성분 기준치 : 1일영양성분 기준치에대한 | 빠면 완성됩니다. | *당사 식품안전센터 분석 결과 | 8801045""490472 | HACCP | 2027.03.27 | F2A09:15"
000059,2027,06,22,2027-06-22,s1,"2~3번 씻어내어 주십시오. | 억산물에 | Rinse cooked noodies | with cold water twice | or three times. | 4.씻은면을사리를지어그릇에 | 담아놓은후칠가콩국물을 | 부어 드시면 더욱 좋습니다 | Make a coil with cooked | moodles in a bow and | pour Chikab Soybean Soup | to bowl for best taste. | 5.멸치국물이나고기국물 | 을부어서시의파김가루 | 생강,마늘진것을적당히 | 넣어드시면 너욱 맛이 좋습니다. | galic for more delicious soup. | 2027.06.22 까지 | ▪주의사항 | ·국수를삶을때 화력이세면 거품이 나서 넘쳐 | 화재위험이나 화상을 입을 수있으니거품이 | 나며 넘치려 할때 찬물을 한,두 스푼씩 부어가 | 며 익히면 됩니다.·면이 삶아진 후에 계속 오 | 래 끊이면 퍼질 수 있으니 적당히 말랑말랑해지 | 나는것과 함께 토관 하지 말아 주시기 바랍니다. | 직사광선을 피하여 건조하고 서늘한 곳에 실온 | 보관 하십시오.·부정·불량식품 신고는 국번"
000060,2026,04,13,2026-04-13,s1,소재(PP)로 끝는 | 2026.04.130 12  | 안전은  행보을  위한  약속 | 조대법
000061,2026,06,04,2026-06-04,clahe,ABC | 초코쿠키 | 8 | 801062893546 | 26.06.04 8 | 11:32 | 까지 | ABC초콜릿과 | 스프트쿠키의
000062,2026,05,26,2026-05-26,s1,호수 | ZEC | 제대로 만든 크래귀! | 까지 | 26.05.26 4법 | EE
000063,2026,06,16,2026-06-16,s1,CROUN | 부터 | 2025.06.17 | 까지 | 맛있는 약속 | 2026.06.16 | CROUN | 부터 | 5.06.17 | 까진-이는 약속
000064,2026,08,03,2026-08-03,s1,큰피로 | 구론산타우 | 피로회복·자양강장 | <번호: | 2기한: | 2026.08.03.10 :45 | ※본 박스는 운반용입니다.
000065,2026,01,12,2026-01-12,s1,미떼 | 핫초코 마일드 | 2026.01.12 04:5274 | 달콤한 핫초코에 | 풍부한우유맛이더해진 | 부드러운 핫초코 | 是22%010% | 300g1250kcal[30g(125kca/x102W]
000066,2026,08,17,2026-08-17,s1,n. | 커피만들어있어요 | 2026.08.17 08:3년천A/P | 피만 들어있어요 | Maxim. | 2026.08.17 0-3101 | Max | Mocha Gold Mild | AMERICANO BLACK | Mocha Gold | AMERICANO BI | 커피만 들어있는 | Max | 블랙스틱커피 | 모카골드 미 | 0 | 20 | STICKS | 커피원두1 | 20 | STICKS | 중량: 18g | STICKS
000067,2025,12,19,2025-12-19,s1,자매품 | 솟다리 | 중량50g | 2025.12.19까지 | E고기
000068,2026,06,17,2026-06-17,s1,자매품 | ® | 솟다리 | 이 | 3508 | 2026.06.17 까지 | 기구이
000069,2026,06,24,2026-06-24,s1,중량50g | 2026.06.2414 | 기구이
000070,2026,10,08,2026-10-08,s1,좋은 | GOOD TODAY | 가 있는 | 피스타치오 | Pistachio | 2026.10.08까지 | 고소한 풍0O | 바작한 | (1.650kcal) | 100%
000071,2027,07,20,2027-07-20,s1,은은한 풍미와 향긋한 | 마카다마아 | Macadamia | B | 포장 2025.07.21 | 소비2027.07.20까지. | 호주산마 | 300g | 1o실은보관
000072,2026,04,25,2026-04-25,s1,"허니머스타드 | 200104450534 | 유형 소스 | 포장재질용가-폴리에틸렌(내면)뚜껑-폴리에틸렌 | 원료명정제수식물성유지외국산아르헨티나,미국,중국 등)샐러드머스터드 | (미국산식초머스터드소금,터메리,파프리키기타과당,설당,발효식초주정,발효영양원, | 렌지식이섬유 잔단검,겨자분겨자:외국산(캐 | 영양정보 | 나다.미국,우크라이나 등).향미유 건조당일. | 100g285kcal | 효소제제 향신료 영양강화제 대두계란 함유 | 三650mg33%号27g8% | @주식회사 오뚜기 | 128 | 22g22%19g35% | ·밀토마토 우유 돼지고기 쇠고기 조개류굴 | g4.6g31% | 혼입가능·소비자기본법에 따라 피해 보상· | 15mg5%1g2% | 1399 | 광선을 피해 서늘한 곳에 보관,개봉 후에는 냉 | 200 | 개인의 필요 열량에 따라 다를 수 있습니다. | H2034 | 2013-0 | ：080-0231 | ：801045176338 | 소비기한 | DN2 | 플라스틱 | 2026.04.25 | OTHER | 까지 | 뚜껑:LDPE | 라벨:PP | 09:24"
000073,2026,03,12,2026-03-12,s1,"/리드지내면): 폴리에틸렌 | 话199104450778427 | 개원 샘표식품()-서울특시중구 충무로? | 부 | 1052 70 | 본품은 | 안전관리인증 | ccm | 결기준에의 | 소비자중심 | HACCP | '플라스틱 | 있 | 공정거래위원회 | 식품의약품인전처 | OTHER | [지원실(수신자 부담) | 080-872-8888 | 캡:PP리드지:OHR슈링크:페트 | , | |잣혼입기능 | 2026.03.12/A | 반품및  | 영양정보 | [식물성유지 | 난항액난황계란:국산)],발효 | 18g8 | 정제소금,조제겨자클래 | ET | 미국산식초,겨자씨,소금 | 수화을 2 | 본부막 | ,정제수,설 | 설부 | T | H양벌(국신"
000074,2026,08,28,2026-08-28,s1,제품명 | 백설 허니머스타드 소스 | 내용량 | 250g | 식품의 유형 | 소스(살제품) | 소비기한 | 후면 별도 표시일까지 | 실온보관/개봉후냉장보관 | UL | 유통전문판매원:씨제이제 | 일제당(주)충청북도 진천군 광 | 업소명및 | 112 | 소재지 | ·제조원:(주)동방푸드마스타 | CAC宝105 | 번길70 | 2026.08.28/C | 까지 | 한제제(유회
000075,2026,01,06,2026-01-06,s1,잣 성분 혼입 가능. | 1399 | 320g | F24 | 영양정보 | 100g385kcal | L三暑700mg35% | 26g8% | 异 22g22 % | 31g57% | 트랜스지방0 9 | 4.429% | 量10mg3% | 192% | DAESA | 소비기한: | 2026.01.06 | 11:18
000076,2026,08,17,2026-08-17,s1,제품명 | 백설돈까스소스 | L格255g | 식품의 유형 소스(살균제품) | 소비기한 | 후면 별도 표시일까지 | 보관방법 | 실온보관/개봉후냉장보관 | 유통전문판매원: 씨제이제 | 일체당(주)충청북도 진천군 광 | 업소명 및 | 112 | 소재지 | ·제조원: (주)동방푸드마스타 | 반풍 및고 | 号记CHACH宝105 | 번길70 | 영양정보 | 2026.08.17/D | 나트름14 | 까지
000077,2026,03,07,2026-03-07,s1,India | 0.28%98 | 2026.03.07 | 까
000078,NONE,NONE,NONE,NONE,fail,"{토마토,정제소금,구연산 | 옥수수전분), | 국산)변성전분},과·채가공품/미 | 대두,밀,토마토함유 | 300g | 안전관리인증 | 보 | 100g270kcal | HACCP | OTI | mg27%59g18%18g18% | 3%트랜스지방 0g | 5g2%1g2% | 8809781220032 | 2025.0619刘至 | %00 | %00 | g2%1g2% | mg27%59g18%18g18% | 139 | 옥수수전분),굴앗, | 2025.0619至 | 100g270kcal | 300g | 몸및 교환:구입처 및(주페리카나 | ,소스가분리될수있으니잘흔들 | 8809781220032 | '르딩,발효 | % | 한0.영 | HIO | TYO0MAZ | AB | 88융 | '쿠고구능 | 신 (토마토,정제소금,구연산 | 옥수수전문), | 국산)변성전분},과 채가공품/미 | 139 | 300g | 100g270kcal | HACCP | OTI | ng27%个就量59g18%异18g18% | 5mg2%1g2% | (%000kca | 8809781220032 | 2025.0619对至 | 12당,발효 | 옥수수전문),굴 | 국산)번 | 대두,밀,토마토함유 | 식품2,양조간장,파라옥시안식향산에틸(보존료) | 300g | 안전관리인증 | HACCP | 100g270kcal | 식동의약인진회 | OTH | mg27%量59g18%18g18% | 3%트랜스지방 0g | mg미만 2% | 단백질1g2% | %0 | 8""809781""220032 | 2025.0619刘至"
000079,2026,01,31,2026-01-31,s1,머들러로사용 | 뱅쇼(프랑스 따듯한 와인) | ·소비기한 | 2026.01.31 | 까지
000080,NONE,NONE,NONE,NONE,fail,"3,990 | 1225 | 읍 | 8 | 18022591020431 | 합분유 | 가나산,에 | 0 | 롯데웰푸드 | 밀:미국산) | 참유(말레 | 전분),전란 | 부터 | |소금,산도 | 까지 | 지방산에스 | …. | 1… | 혼합분유 | 로필렌 | 띠 | H | ∞ | 802259020431 | 롯데웰푸드 | … | 3,990 | 26R | 066℃ | ㅋ | ∞ | 금 | 길름입 | 혼 | 소 | |X{l | 내자'문Y | 문림영까 | (문닌미: | 0 | 크 | 공곡이돌 | 25 | 066 | 26 | EB | 3,990 | 1225 | 읍 | 필런 | 8802259020431 | 나산.에 | 롯데웰푸드 | 길:미국산) | 참유(말레 | 전분),전란 | 17 | 부터 | |소금,산도 | 까지 | 지방산에스 | 3,990 | 125 | 읍 | 프로필렌 | 8 | 802259""020431 | 혼합분유 | 가나산,에 | 롯데웰푸드 | 밀:미국산) | 팔유(말레 | 전분),전란 | 부터 | |소금,산도 | 까지 | 지방산에스"
000081,2026,05,18,2026-05-18,s1,소비기한 | 부터 | 2025.05.19/10:27 | 마크란? | 2026.05.18 | 까지 | 고 안전하다고 | 하는마크입니다
000082,2026,08,24,2026-08-24,s1,엄아손 | 기운내 | 아자! | 자 | From | 2025.08.25부터3 | 2026.08.24까지A
000083,NONE,NONE,NONE,NONE,fail,행사상품 | 상큼달콤롯데샌드 | 롯샌 | 파인애플 | T  | 까지 | 17 | 롯샌 | 상금달콤롯데샌드 | 행사상품 | 파인애플 | .. | … | 류이피 | HY | 행사상품 | 삼큼달콩롯데샌드 | 롯샌 | 파인애플 | 행사상품 | 상큼달콤 롯데샌드 | 롯샌 | 파인애플 | 까지 | …
000084,2026,03,31,2026-03-31,s1,LOTTE | 대한민국No.1 | 카스타S | 1989 | 소비 | 2025.10.01/12.47 | 부터 | 기한 | 2026.03.31/A | 까지 | 사랑입니다.
000085,2026,03,30,2026-03-30,s1,아름 | 영양정보 | 20mg1% | 全司量40912% | 45201 | 080-024-6060 | (수신자 요금 부담) | http://www.lottewellfood.com | 2026.03.30 B1 | 7818010
